iter	MAE
0	0.767012211
1	0.7517341722
2	0.7372039883
3	0.7232999494
4	0.7085195234
5	0.6948510834
6	0.6818481886
7	0.668410049
8	0.6495536306
9	0.6350981629
10	0.6236824046
11	0.6123340739
12	0.6011287621
13	0.5908427522
14	0.5810930681
15	0.5714388847
16	0.5614688808
17	0.5520114867
18	0.5430770911
19	0.5347915302
20	0.526665033
21	0.5123756977
22	0.5045511187
23	0.4966586031
24	0.4891220023
25	0.4820773147
26	0.4750433396
27	0.4683776478
28	0.4620649816
29	0.456135653
30	0.4456916881
31	0.4399306473
32	0.4304921937
33	0.4251130245
34	0.4164890399
35	0.4109780831
36	0.4061447673
37	0.3980216211
38	0.390529644
39	0.3830683855
40	0.3758399308
41	0.3690807607
42	0.3625388555
43	0.3558218284
44	0.3494784346
45	0.3434786519
46	0.3375505428
47	0.3341778884
48	0.3306401609
49	0.3252261301
50	0.3199688158
51	0.3149976507
52	0.3101460874
53	0.3051600763
54	0.3004487739
55	0.2958383342
56	0.2913945223
57	0.2870389577
58	0.28289916
59	0.2788131741
60	0.2749323721
61	0.2711683712
62	0.2674116586
63	0.2639337473
64	0.2605222356
65	0.2572309652
66	0.2539025898
67	0.2508775652
68	0.2477849175
69	0.2447591824
70	0.2419668507
71	0.2392120971
72	0.2364776735
73	0.2339808122
74	0.231417934
75	0.2290661664
76	0.2268056491
77	0.2244841689
78	0.2222201313
79	0.2200474471
80	0.2180118195
81	0.2161104471
82	0.2142477455
83	0.2123363954
84	0.2104655622
85	0.2086877919
86	0.2070792097
87	0.205476908
88	0.2039240075
89	0.2023596464
90	0.2008621947
91	0.1994552185
92	0.1981095346
93	0.1967369998
94	0.1954662686
95	0.1942180237
96	0.1930023052
97	0.1918596106
98	0.19075914
99	0.1897128575
100	0.1887229113
101	0.1877241138
102	0.1867614598
103	0.1857962426
104	0.1848276986
105	0.1839278132
106	0.1830843302
107	0.1822807256
108	0.1814738824
109	0.1807405357
110	0.1799277819
111	0.1791891922
112	0.1784424644
113	0.177743412
114	0.1770512453
115	0.1764122495
116	0.1758327948
117	0.1752721564
118	0.1746848891
119	0.1740862332
120	0.1735119178
121	0.1729553216
122	0.1724161244
123	0.171898903
124	0.1713581146
125	0.170867698
126	0.1703586299
127	0.1699320288
128	0.1695355549
129	0.1690762692
130	0.1686466336
131	0.1681976396
132	0.1678039084
133	0.1673698479
134	0.1670071852
135	0.1666209468
136	0.1662847278
137	0.1659382509
138	0.165573518
139	0.165242057
140	0.1649092461
141	0.1646161529
142	0.1643120729
143	0.1640265189
144	0.1637369713
145	0.1634607076
146	0.1631815261
147	0.1629162737
148	0.1626756333
149	0.1624123456
150	0.1621667489
151	0.1619284841
152	0.161695949
153	0.1614869282
154	0.1612448837
155	0.1610377045
156	0.1608964893
157	0.1607018667
158	0.1605123573
159	0.160345155
160	0.1601588967
161	0.159992261
162	0.1598128635
163	0.159674406
164	0.1595278183
165	0.1593543684
166	0.1592076778
167	0.1590741377
168	0.1589353992
169	0.1588305682
170	0.1587016402
171	0.1586267492
172	0.1584944048
173	0.1583553417
174	0.1582395118
175	0.158127916
176	0.158022795
177	0.1578775918
178	0.1577670578
179	0.1576670822
180	0.1575950869
181	0.1575224947
182	0.1574043668
183	0.1573127668
184	0.1572244453
185	0.1571549954
186	0.1570481018
187	0.1569437876
188	0.1568823861
189	0.1568168386
190	0.1567209928
191	0.1566214423
192	0.1565501008
193	0.1564615982
194	0.1563778278
195	0.1563089693
196	0.1562407545
197	0.1561626707
198	0.1560773409
199	0.1560193093
200	0.1559470352
201	0.1558899594
202	0.1558233593
203	0.1557739522
204	0.1556839528
205	0.1556332727
206	0.1555700818
207	0.155512561
208	0.1554722173
209	0.1554306532
210	0.1553899486
211	0.155326606
212	0.1552619983
213	0.1552203586
214	0.1551552984
215	0.1551018408
216	0.1550424964
217	0.1550043685
218	0.1549690425
219	0.1549368609
220	0.1548934823
221	0.1548353319
222	0.1547941074
223	0.1547525016
224	0.1547105181
225	0.1546596011
226	0.1546291389
227	0.1545981868
228	0.1545662329
229	0.1545355941
230	0.1544940469
231	0.1544645336
232	0.1544358433
233	0.1544041997
234	0.1543774253
235	0.1543421017
236	0.154319082
237	0.1542939819
238	0.1542626788
239	0.1542277848
240	0.1541892273
241	0.1541471895
242	0.1541229693
243	0.1541056879
244	0.1540790281
245	0.1540347845
246	0.1539919457
247	0.1539509765
248	0.153892978
249	0.1538726816
250	0.1538413277
251	0.153825248
252	0.1538005421
253	0.1537651201
254	0.1537138871
255	0.1536772989
256	0.1536501708
257	0.1536315518
258	0.1535979384
259	0.1535558953
260	0.1535330102
261	0.1535033041
262	0.153476824
263	0.1534591908
264	0.1534358788
265	0.1534064829
266	0.1533706496
267	0.153346764
268	0.1533344935
269	0.1533138769
270	0.153295383
271	0.1532729779
272	0.1532467196
273	0.1532104837
274	0.1531961736
275	0.1531622164
276	0.153125066
277	0.1531100649
278	0.1530782391
279	0.1530610179
280	0.1530272437
281	0.1530093868
282	0.1529681077
283	0.15293744
284	0.1529121858
285	0.1528967004
286	0.1528530622
287	0.1528414602
288	0.1528291134
289	0.1527854491
290	0.1527606447
291	0.1527349326
292	0.1527080497
293	0.1526833092
294	0.1526678683
295	0.1526439907
296	0.1525929729
297	0.152577589
298	0.1525476472
299	0.1525253282
300	0.152490066
301	0.152453652
302	0.152440417
303	0.1524326125
304	0.1524219632
305	0.152390827
306	0.15237066
307	0.1523376818
308	0.152310282
309	0.1522876279
310	0.1522685252
311	0.1522523837
312	0.1522409195
313	0.1522282296
314	0.1522113123
315	0.1522008182
316	0.1521755011
317	0.1521632496
318	0.1521308571
319	0.1521099504
320	0.1520939469
321	0.1520789419
322	0.152062102
323	0.152048606
324	0.1520365486
325	0.1520244701
326	0.1520119609
327	0.1520030318
