iter	Passed	Remaining
0	1383	1742066
1	2348	1476945
2	3109	1302968
3	3803	1194227
4	4593	1152855
5	5283	1104196
6	6043	1081828
7	6850	1072084
8	7664	1065410
9	8380	1047505
10	9060	1028748
11	9814	1020690
12	10517	1008891
13	11216	998295
14	12009	996786
15	12754	991628
16	13508	987732
17	14202	979952
18	14909	973811
19	15745	976201
20	16465	971476
21	17206	968255
22	17839	959459
23	18472	951322
24	19161	946573
25	19925	945675
26	20655	943275
27	21390	941170
28	22070	936872
29	22764	933342
30	23430	928901
31	24212	929151
32	24927	926853
33	25566	921891
34	26253	918870
35	26970	916991
36	27706	915820
37	28344	911507
38	29034	908992
39	29776	908172
40	30408	904090
41	31074	901169
42	31733	898140
43	32469	897350
44	33186	896033
45	33809	892266
46	34491	890176
47	35222	889357
48	35908	887453
49	36598	885686
50	37300	884243
51	38036	883624
52	38727	881970
53	39408	880131
54	40093	878415
55	40788	876953
56	41499	875849
57	42224	875060
58	42963	874553
59	43686	873721
60	44346	871671
61	44975	869035
62	45812	870446
63	46487	868729
64	47123	866348
65	47828	865262
66	48521	863965
67	49190	862280
68	49862	860665
69	50636	860817
70	51370	860274
71	52064	859057
72	52758	857867
73	53464	856875
74	54152	855610
75	54905	855369
76	55612	854412
77	56303	853215
78	57033	852621
79	57726	851472
80	58437	850590
81	59139	849588
82	59833	848486
83	60540	847563
84	61228	846394
85	61933	845469
86	62629	844418
87	63404	844433
88	64054	842790
89	64716	841314
90	65433	840566
91	66148	839792
92	66842	838760
93	67520	837542
94	68210	836472
95	68930	835779
96	69659	835195
97	70409	834850
98	71013	832798
99	71767	832504
100	72445	831335
101	73105	829957
102	73771	828670
103	74418	827189
104	75081	825895
105	75791	825126
106	76487	824206
107	77166	823108
108	77796	821502
109	78461	820276
110	79091	818704
111	79811	818068
112	80524	817361
113	81209	816368
114	81888	815319
115	82568	814296
116	83311	813886
117	84040	813345
118	84731	812424
119	85453	811806
120	86106	810541
121	86733	809039
122	87417	808075
123	88109	807194
124	88741	805773
125	89452	805075
126	90165	804387
127	90865	803587
128	91613	803217
129	92298	802290
130	92971	801260
131	93659	800366
132	94343	799435
133	95052	798723
134	95793	798282
135	96468	797280
136	97166	796479
137	97919	796129
138	98589	795097
139	99302	794422
140	100065	794135
141	100747	793208
142	101461	792537
143	102182	791912
144	102891	791201
145	103579	790326
146	104266	789448
147	104891	788103
148	105576	787218
149	106284	786507
150	107042	786160
151	107773	785612
152	108411	784389
153	109191	784196
154	109902	783498
155	110574	782529
156	111350	782291
157	112034	781408
158	112745	780708
159	113447	779952
160	114168	779322
161	114887	778683
162	115498	777311
163	116279	777086
164	116936	776033
165	117626	775200
166	118287	774178
167	118976	773344
168	119675	772579
169	120426	772147
170	121189	771784
171	121885	770998
172	122531	769897
173	123274	769403
174	124070	769235
175	124777	768514
176	125464	767675
177	126175	766976
178	126877	766225
179	127592	765556
180	128386	765355
181	129098	764658
182	129840	764144
183	130600	763726
184	131289	762900
185	132046	762464
186	132696	761409
187	133389	760601
188	134020	759449
189	134801	759147
190	135504	758402
191	136173	757463
192	136830	756468
193	137517	755640
194	138197	754773
195	138895	754006
196	139713	753883
197	140406	753087
